epsiode,reward
0,-1329.6662785414421
1,-1329.6662785414421
2,-1017.0331894921313
3,-1017.0331894921313
4,-1896.092752196723
5,-1896.092752196723
6,-1774.8163297521462
7,-1774.8163297521462
8,-1799.7458405900618
9,-1799.7458405900618
10,-1733.2862813723193
11,-1733.2862813723193
12,-1675.6604725432308
13,-1675.6604725432308
14,-1208.5536970632554
15,-1208.5536970632554
16,-1085.3489244898205
17,-1085.3489244898205
18,-1140.7934842721152
19,-1140.7934842721152
20,-1169.5092372289553
21,-1169.5092372289553
22,-1021.0287142906254
23,-1021.0287142906254
24,-956.9269621857031
25,-956.9269621857031
26,-1165.4393890379813
27,-1165.4393890379813
28,-1280.0760561720747
29,-1280.0760561720747
30,-1215.5491389887923
31,-1215.5491389887923
32,-128.15443921183555
33,-128.15443921183555
34,-134.20801912193642
35,-134.20801912193642
36,-127.23860193425928
37,-127.23860193425928
38,-1185.5850036561646
39,-1185.5850036561646
40,-332.3941846776871
41,-332.3941846776871
42,-0.6246152653335425
43,-0.6246152653335425
44,-252.95775109344697
45,-252.95775109344697
46,-126.54684003321594
47,-126.54684003321594
48,-1.686178229964416
49,-1.686178229964416
50,-123.93914505487966
51,-123.93914505487966
52,-119.5980817860894
53,-119.5980817860894
54,-121.68377460579921
55,-121.68377460579921
56,-247.8969307517811
57,-247.8969307517811
58,-0.7831286146682289
59,-0.7831286146682289
60,-124.06641259285429
61,-124.06641259285429
62,-228.72686857298586
63,-228.72686857298586
64,-126.36045580008117
65,-126.36045580008117
66,-118.10064072077863
67,-118.10064072077863
68,-338.58469041741824
69,-338.58469041741824
70,-344.9907006330946
71,-344.9907006330946
72,-229.6055143245519
73,-229.6055143245519
74,-1.0553331023217556
75,-1.0553331023217556
76,-117.22721857010802
77,-117.22721857010802
78,-117.24990740244883
79,-117.24990740244883
80,-239.4613633029004
81,-239.4613633029004
82,-124.88657071088346
83,-124.88657071088346
84,-271.4570092120509
85,-271.4570092120509
86,-122.1002854248122
87,-122.1002854248122
88,-239.11875153894184
89,-239.11875153894184
90,-121.43403324916336
91,-121.43403324916336
92,-294.29756960774347
93,-294.29756960774347
94,-125.71380186606956
95,-125.71380186606956
96,-127.39798785835639
97,-127.39798785835639
98,-238.79705951955214
99,-238.79705951955214
100,-125.38009884126414
101,-125.38009884126414
102,-118.77349118585201
103,-118.77349118585201
104,-230.7505074792113
105,-230.7505074792113
106,-117.86661411806156
107,-117.86661411806156
108,-122.15806725394798
